date_time,lat,lon,base,neighborhood
2014-09-01 00:01:36,40.73304,-73.97796,B02598,Midtown Manhattan
2014-09-01 00:03:57,40.71742,-74.0101,B02682,Midtown West
2014-09-01 00:08:33,40.63147,-73.76251,B02598,JFK
2014-09-01 00:18:13,40.7403,-73.99853,B02764,Midtown Manhattan
2014-09-01 00:22:47,40.7268,-73.79287,B02512,Queens
2014-09-01 00:25:23,40.65688,-73.93827,B02512,Brooklyn
2014-09-01 00:25:48,40.76253,-73.79385,B02598,Queens
2014-09-01 00:29:49,40.75529,-73.9673,B02598,Midtown West
2014-09-01 00:33:05,40.72991,-73.98025,B02682,Lower Manhattan
2014-09-01 00:33:35,40.71396,-73.97498,B02598,Lower Manhattan
2014-09-01 00:39:02,40.74283,-73.98575,B02764,Midtown West
2014-09-01 00:41:29,40.70122,-74.00411,B02598,Lower Manhattan
2014-09-01 00:46:40,40.73045,-73.98539,B02617,Lower Manhattan
2014-09-01 00:48:18,40.63553,-73.7932,B02598,JFK
2014-09-01 00:48:30,40.67679,-73.93697,B02617,Brooklyn
2014-09-01 00:48:36,40.77465,-73.8936,B02617,LaGuardia
2014-09-01 00:48:52,40.71566,-73.99611,B02764,Lower Manhattan
2014-09-01 00:53:07,40.72563,-73.8191,B02617,Queens
2014-09-01 01:14:03,40.66376,-73.91805,B02617,Brooklyn
2014-09-01 01:19:11,40.6951,-73.97495,B02598,Lower Manhattan
2014-09-01 01:20:39,40.71636,-73.98559,B02617,Brooklyn
2014-09-01 01:27:28,40.77422,-73.96082,B02617,Midtown Manhattan
2014-09-01 01:30:54,40.68281,-73.94822,B02512,Brooklyn
2014-09-01 01:32:56,40.77585,-73.97815,B02617,Midtown Manhattan
2014-09-01 01:37:39,40.63028,-73.77825,B02617,JFK
2014-09-01 01:55:52,40.69967,-73.91341,B02617,Brooklyn
2014-09-01 02:10:37,40.84354,-73.87481,B02617,Bronx
2014-09-01 02:30:07,40.71195,-74.01192,B02682,Lower Manhattan
2014-09-01 02:40:43,40.69888,-73.94524,B02682,Brooklyn
2014-09-01 02:57:32,40.63374,-73.79269,B02617,JFK
2014-09-01 03:07:58,40.77689,-73.86864,B02512,LaGuardia
2014-09-01 03:40:07,40.82556,-73.8594,B02512,Bronx
2014-09-01 03:45:39,40.69767,-74.17735,B02617,Newark
2014-09-01 03:46:09,40.68741,-73.97528,B02598,Lower Manhattan
2014-09-01 03:52:55,40.76967,-73.97284,B02617,Midtown Manhattan
2014-09-01 04:01:59,40.74171,-73.80818,B02682,Queens
2014-09-01 04:52:36,40.75547,-74.00512,B02598,Midtown West
2014-09-01 04:56:28,40.64924,-73.94559,B02598,Brooklyn
2014-09-01 05:02:49,40.72589,-73.99329,B02598,Midtown West
2014-09-01 05:11:47,40.76469,-73.98958,B02617,Midtown West
2014-09-01 05:14:26,40.66251,-73.76832,B02617,JFK
2014-09-01 05:22:14,40.72867,-73.7869,B02512,Queens
2014-09-01 05:25:38,40.75513,-74.0632,B02512,Midtown Manhattan
2014-09-01 05:36:36,40.83388,-73.81796,B02617,Bronx
2014-09-01 05:44:56,40.77578,-73.87049,B02617,LaGuardia
2014-09-01 06:07:42,40.76937,-73.97172,B02764,Midtown Manhattan
2014-09-01 06:08:51,40.75087,-74.01556,B02617,Midtown Manhattan
2014-09-01 06:16:27,40.76944,-73.95256,B02617,Midtown West
2014-09-01 06:17:31,40.739,-73.97832,B02682,Midtown Manhattan
2014-09-01 06:26:51,40.63316,-73.7842,B02764,JFK
2014-09-01 06:29:04,40.6703,-73.95696,B02617,Brooklyn
2014-09-01 06:37:28,40.66867,-74.16512,B02512,Newark
2014-09-01 06:44:05,40.74023,-73.99071,B02598,Midtown West
2014-09-01 06:46:36,40.70623,-73.9651,B02598,Brooklyn
2014-09-01 06:46:43,40.73697,-73.96993,B02512,Midtown Manhattan
2014-09-01 06:58:27,40.71075,-73.9686,B02617,Brooklyn
2014-09-01 07:03:14,40.75267,-74.0027,B02598,Midtown West
2014-09-01 07:04:13,40.79243,-73.96,B02617,Midtown Manhattan
2014-09-01 07:05:55,40.72856,-74.00427,B02617,Midtown West
2014-09-01 07:09:18,40.77176,-73.88009,B02598,LaGuardia
2014-09-01 07:09:39,40.74547,-74.00422,B02617,Midtown West
2014-09-01 07:10:49,40.74327,-74.00118,B02598,Midtown Manhattan
2014-09-01 07:12:35,40.78172,-73.99498,B02617,Midtown Manhattan
2014-09-01 07:13:06,40.66598,-73.9397,B02682,Brooklyn
2014-09-01 07:13:49,40.63831,-73.77487,B02617,JFK
2014-09-01 07:15:39,40.77243,-73.96779,B02764,Midtown West
2014-09-01 07:16:15,40.70693,-73.99833,B02598,Lower Manhattan
2014-09-01 07:18:15,40.65351,-73.9228,B02598,Brooklyn
2014-09-01 07:21:58,40.78169,-73.86809,B02682,LaGuardia
2014-09-01 07:27:16,40.73662,-74.01502,B02598,Midtown Manhattan
2014-09-01 07:29:11,40.70519,-74.02418,B02682,Lower Manhattan
2014-09-01 07:29:50,40.78601,-73.9706,B02512,Midtown West
2014-09-01 07:30:49,40.77627,-73.87751,B02617,LaGuardia
2014-09-01 07:31:43,40.79979,-73.96967,B02682,Midtown Manhattan
2014-09-01 07:34:32,40.71805,-73.98613,B02682,Lower Manhattan
2014-09-01 07:34:36,40.74031,-73.9864,B02682,Midtown Manhattan
2014-09-01 07:35:22,40.66518,-73.92505,B02598,Brooklyn
2014-09-01 07:39:30,40.83565,-73.85792,B02598,Bronx
2014-09-01 07:43:24,40.69515,-73.92952,B02617,Brooklyn
2014-09-01 07:45:02,40.68569,-74.18494,B02617,Newark
2014-09-01 07:48:46,40.69901,-73.92248,B02682,Brooklyn
2014-09-01 07:49:14,40.70806,-74.00594,B02682,Midtown Manhattan
2014-09-01 07:49:15,40.76362,-73.87329,B02617,LaGuardia
2014-09-01 07:49:31,40.6295,-73.7678,B02617,JFK
2014-09-01 07:50:53,40.75912,-73.81904,B02764,Queens
2014-09-01 07:50:55,40.69616,-73.93544,B02617,Brooklyn
2014-09-01 07:51:08,40.71337,-73.9537,B02682,Brooklyn
2014-09-01 07:53:28,40.69788,-73.95383,B02598,Brooklyn
2014-09-01 07:54:09,40.6838,-73.97706,B02617,Brooklyn
2014-09-01 07:54:13,40.71258,-74.04134,B02617,Lower Manhattan
2014-09-01 07:55:12,40.78694,-73.95676,B02617,Midtown Manhattan
2014-09-01 07:55:32,40.83281,-73.85582,B02617,Bronx
2014-09-01 07:56:05,40.78423,-73.96627,B02598,Midtown West
2014-09-01 07:57:31,40.74854,-73.97786,B02617,Midtown Manhattan
2014-09-01 07:59:49,40.75736,-74.00535,B02617,Midtown West
